;budget_year;lfd_nr;fin_ve;bedarfsplan_number;name;starting_year;cost_estimate_original;cost_estimate_last_year;cost_estimate_actual;cost_estimate_actual_third_parties;cost_estimate_actual_equity;cost_estimate_actual_891_01;cost_estimate_actual_891_02;cost_estimate_actual_891_03;cost_estimate_actual_891_04;cost_estimate_actual_891_91;delta_previous_year;delta_previous_year_relativ;delta_previous_year_reasons;spent_two_years_previous;spent_two_years_previous_third_parties;spent_two_years_previous_equity;spent_two_years_previous_891_01;spent_two_years_previous_891_02;spent_two_years_previous_891_03;spent_two_years_previous_891_04;spent_two_years_previous_891_91;allowed_previous_year;allowed_previous_year_third_parties;allowed_previous_year_equity;allowed_previous_year_891_01;allowed_previous_year_891_02;allowed_previous_year_891_03;allowed_previous_year_891_04;allowed_previous_year_891_91;spending_residues;spending_residues_891_01;spending_residues_891_02;spending_residues_891_03;spending_residues_891_04;spending_residues_891_91;year_planned;year_planned_third_parties;year_planned_equity;year_planned_891_01;year_planned_891_02;year_planned_891_03;year_planned_891_04;year_planned_891_91;next_years;next_years_third_parties;next_years_equity;next_years_891_01;next_years_891_02;next_years_891_03;next_years_891_04;next_years_891_91
51;2023;B0040;5095;N 17;"Rhein‐Ruhr‐Express (RRX),
Dortmund Hbf
";2014;46503;99175;106341;16.672;22.233;89.669;-;-;-;-;7166;0.07225611293168642;;54499;8.566;14.699;45.933;-;-;-;-;27020;3.550;3.400;23.470;-;-;-;-;2528;2.528;-;-;-;-;11620;1.720;2.484;9.900;-;-;-;-;10674;2.836;1.650;7.838;-;-;-;-
52;2023;B0041;5029         N 17;N 17;Rhein‐Ruhr‐Express (RRX), PFB 1 (Köln ‐ Langenfeld) ;2014;181160;212198;252152;-;11.852;252.152;-;-;-;-;39954;0.18828641174751884;;95051;-;4.754;95.051;-;-;-;-;50201;-;2.642;50.201;-;-;-;-;‐;‐;-;-;-;-;40000;-;1.667;40.000;-;-;-;-;66900;-;2.789;66.900;-;-;-;-
53;2023;B0086;‐            N 17;N 17;"Rhein‐Ruhr‐Express (RRX), PFB 2.1 (Reisholz‐Wehrhahn)
";2021;369018;369018;370251;-;15.481;370.251;-;-;-;-;1233;0.003341300424369543;;1233;-;64;1.233;-;-;-;-;3706;-;195;3.706;-;-;-;-;‐;‐;-;-;-;-;6014;-;251;6.014;-;-;-;-;359298;-;14.971;359.298;-;-;-;-
54;2023;B0070;5103         N 17;N 17;"Rhein‐Ruhr‐Express (RRX), PFB 3.0
(Wehrhahn – Unterrath und ESTW Düsseldorf)
";2018;281833;309989;310179;-;13.429;310.179;-;-;-;-;190;0.0006129249747571688;;16264;-;857;16.264;-;-;-;-;29647;-;1.560;29.647;-;-;-;-;‐;‐;-;-;-;-;43601;-;1.817;43.601;-;-;-;-;220667;-;9.195;220.667;-;-;-;-
55;2023;B0107;N 17;N 17;"Rhein‐Ruhr‐Express (RRX), PFB 3.0a (Unterrath – Kalkum)
Unterlagen entsprechend § 24 Abs. 4 BHO liegen noch nicht (vollständig) vor.
";vsl.2022;281833;309989;193024;-;ERGÄNZEN;193.024;-;-;-;-;-116965;-0.3773198403814329;;‐;-;-;‐;-;-;-;-;‐;-;-;‐;-;-;-;-;‐;‐;-;-;-;-;1442;-;-;1.442;-;-;-;-;191582;-;-;191.582;-;-;-;-
56;2023;B0065;5098         N 17;N 17;"Rhein‐Ruhr‐Express (RRX), PFB 4 (Mülheim(Ruhr))
";2016;14061;17639;18997;-;991;18.997;-;-;-;-;1358;0.07698849141107772;;13529;-;713;13.529;-;-;-;-;3216;-;240;3.216;-;-;-;-;1352;1.352;-;-;-;-;500;-;21;500;-;-;-;-;400;-;17;400;-;-;-;-
57;2023;B0068;5099         N 17;N 17;"Rhein‐Ruhr‐Express (RRX), PFB 5 (Essen ‐ Bochum)
";2017;135508;149688;149750;-;6.480;149.750;-;-;-;-;62;0.0004141948586393031;;7062;-;371;7.062;-;-;-;-;12056;-;790;12.056;-;-;-;-;2947;2.947;-;-;-;-;18001;-;750;18.001;-;-;-;-;109684;-;4.569;109.684;-;-;-;-
58;2023;B0042;83              ‐;N 17;"Stuttgart 21
";2009;563800;563800;563800;-;ERGÄNZEN;0;-;563.800;-;-;0;0.0;;458507;-;-;‐;-;458.507;-;-;‐;-;-;‐;-;‐;-;-;‐;ERGÄNZEN;-;ERGÄNZEN;-;-;‐;-;-;‐;-;‐;-;-;105293;-;-;‐;-;105.293;-;-
59;2023;B0108;N 27;N 17;"Umschlagbahnhof Augsburg
Unterlagen entsprechend § 24 Abs. 4 BHO liegen noch nicht (vollständig) vor.
";vsl.2022;563800;563800;72371;-;ERGÄNZEN;72.371;-;-;-;-;-491429;-0.8716371053565094;;‐;-;-;‐;-;-;-;-;‐;-;-;‐;-;-;-;-;‐;‐;-;-;-;-;1992;-;-;1.992;-;-;-;-;70379;-;-;70.379;-;-;-;-
60;2023;B0043;608;L 37;"Umschlagbahnhof Duisburg‐Ruhrort Hafen,
1. und 2. Baustufe
";2010;39016;50143;52888;-;ERGÄNZEN;27.816;-;-;-;-;2745;0.05474343377939094;;40104;-;-;15.032;-;-;-;-;7163;-;-;7.163;-;-;-;-;2732;2.732;-;-;-;-;2247;-;-;2.247;-;-;-;-;642;-;-;642;-;-;-;-
