;project_name;project_number;pc_name;pc_reason;pc_description;Von_bis;planned_total_cost;nbs;abs;elektrification;batterie;second_track;third_track;fourth_track;curve;platform;junction_station;number_junction_station;overtaking_station;number_overtaking_station;double_occupancy;block_increase;flying_junction;tunnel_structural_gauge;increase_speed;new_vmax;level_free_platform_entrance;etcs;etcs_level;station_railroad_switches;station_modernization;effect_long_rail;effect_local_rail;effect_cargo;;;Strecken/Knoten;SPFV/SGV-Wirkung;Streckennummer;Bundesland;in Pros-D;railway lines;Subprojekte anlegen;GANTT;Zuordnung Korridor/Überprojekt;Gesamtmaßnahmenliste
84;Deutschlandtakt ABS Neufahrn Nord – Freising;D-84;ABS Neufahrn Nord – Freising;Mischverkehrsstrecke, Kapazitätsausweitung aufgrund Leistungsausweitung SPNV;Neufahrn Nord - Freising: viergleisiger Ausbau;Neufahrn Nord – Freising;283,8;;WAHR;;;;;WAHR;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;München - Landshut - Regensburg;mittelbar;5500;;;;;ja;Maßnahmen Bayern; 
85;Deutschlandtakt ABS Neufahrn Nord – Freising (Einbindung viergleisiger Ausbau);D-85;ABS Neufahrn Nord – Freising (Einbindung viergleisiger Ausbau);Mischverkehrsstrecke, Kapazitätsausweitung aufgrund Leistungsausweitung SPNV;Neufahrn Nord - Freising: Einbindung viergleisiger Ausbau zur flexiblen Nutzung;Neufahrn Nord – Freising (Einbindung viergleisiger Ausbau);54,4;;WAHR;;;;;WAHR;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;München - Landshut - Regensburg;mittelbar;5500;;;;;ja;Maßnahmen Bayern; 
86;Deutschlandtakt ABS Dachau – München;D-86;ABS Dachau – München;Mischverkehrsstrecke, Kapazitätsausweitung aufgrund leistungsausweitung SPNV;drittes Gleis Dachau - München an SPFV-Gleisen;Dachau – München;454,1;;WAHR;;;;WAHR;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Ingolstadt - München;mittelbar;5501;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
87;Deutschlandtakt Knoten Petershausen;D-87;Knoten Petershausen;Kapazitätsausweitung aufgrund SGV-Prognose;Petershausen: je ein seitenrichtiges Überholgleis für den Güterverkehr;Knoten Petershausen;42,4;;;;;;;;;;;;WAHR;2;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Ingolstadt - München;unmittelbar;5501;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
88;Deutschlandtakt Malching – Maisach;D-88;Malching – Maisach;Mischverkehrsstrecke, Kapazitätsausweitung aufgrund SGV-Prog- nose und MehrverkehrSPFV;Augsburg Hbf- München: Überholgleise in beide Richtungen für SGV zwischen Malching und Maisach;Malching – Maisach;73,3;;;;;;;;;;;;WAHR;2;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Augsburg - München;unmittelbar;5581;;;;;ja;Mannheim - Stuttgart - Augsburg - München; 
89;Deutschlandtakt Knoten München-Pasing;D-89;Knoten München-Pasing;Kapazitätssteigerung im Bereich München-Pasing;Augsburg Hbf- München: zusätzliche Bahnsteigkante in München- Pasing auf der Nordseite;Knoten München-Pasing;54,3;;;;;;;;;WAHR;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Knoten München;mittelbar;5503;;;;;ja;Knoten München; 
90;Deutschlandtakt Knoten Ergolding;D-90;Knoten Ergolding;Kapazitätsausweitung aufgrund SGV-Prognose;neuer Bahnhof Ergolding mit zwei zusätzlichen Gleisen für SGV;Knoten Ergolding;31,9;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Landshut - Plattling;unmittelbar;5634;BY;;;;ja;Maßnahmen Bayern; 
91;Deutschlandtakt ABS Niederaichbach (KKW Isar);D-91;ABS Niederaichbach (KKW Isar);Kapazitätsausweitung aufgrund SGV-Prognose;Niederaichbach KKWIsar: Zwei Gleise für den SGV für Begegnung/Überholung von Güterzügen;Niederaichbach (KKW Isar);29,2;;WAHR;;;TURE;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Landshut - Plattling;unmittelbar;5634;BY;;;;ja;Maßnahmen Bayern; 
92;Deutschlandtakt ABS Altenschwand – Bodenwöhr Nord;D-92;ABS Altenschwand – Bodenwöhr Nord;Fahrzeitverkürzung München - Prag zur besseren Knoteneinbindung der Züge in die Knoten in Bayern und Tschechien und Kapazitätssteigerung bzw. Engpassauflösung;zweigleisiger Ausbau Altenschwand - Bodenwöhr Nord;Altenschwand – Bodenwöhr Nord;43;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Schwandorf - Furth im Wald;unmittelbar;5800;BY;;;;ja;Maßnahmen Bayern; 
93;Deutschlandtakt ABS Charm – Charm Schwedenschanze;D-93;ABS Charm – Charm Schwedenschanze;Fahrzeitkürzung München - Prag zur besseren Knoteneinbindung der Züge in die Knoten in Bayern und Tschechien und Kapazitäts- steigerung bzw. Engpassauflösung;zweigleisiger Ausbau Charm - Charm Schwedenschanze;Charm – Charm Schwedenschanze;67,6;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Schwandorf - Furth im Wald;unmittelbar;5800;BY;;;;ja;Maßnahmen Bayern; 
94;Deutschlandtakt ABS Wieding – Arnschwang;D-94;ABS Wieding – Arnschwang;Fahrzeitkürzung München - Prag zur besseren Knoteneinbindung der Züge in die Knoten in Bayern und Tschechien und Kapazitäts- steigerung bzw. Engpassauflösung;zweigleisiger Ausbau Wieding - Arnschwang;Wieding – Arnschwang;28,1;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Schwandorf - Furth im Wald;unmittelbar;5800;BY;;;;ja;Maßnahmen Bayern; 
95;Deutschlandtakt Knoten Plattling;D-95;Knoten Plattling;Kapazitätsausweitung bzw. Engpassauflösung für SGV und SPNV;Plattling: Mittiges Wendegleis für SPV durch Gleisverschwenkung;Knoten Plattling;5,8;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Nürnberg - Regensburg - Passau;unmittelbar;5830;;;;;ja;Maßnahmen Bayern; 
96;Deutschlandtakt ABS Knoten Straßkirchen;D-96;ABS Knoten Straßkirchen;Kapazitätsausweitung aufgrund SGV-Prognose;Straßkirchen: mittiges Überholgleis;Knoten Straßkirchen;15,6;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Nürnberg - Regensburg - Passau;unmittelbar;5830;;;;;ja;Maßnahmen Bayern; 
97;Deutschlandtakt ABS Knoten Beratzhausen;D-97;ABS Knoten Beratzhausen;Kapazitätsausweitung aufgrund SGV-Prognose;Beratzhausen: mittiges Überholgleis;Knoten Beratzhausen;21,1;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Nürnberg - Regensburg - Passau;unmittelbar;5850;;;;;ja;Maßnahmen Bayern; 
98;Deutschlandtakt ABS Knoten Undorf;D-98;ABS Knoten Undorf;Kapazitätsausweitung aufgrund SGV-Prognose;Undorf: mittiges Überholgleis;Knoten Undorf;15;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Nürnberg - Regensburg - Passau;unmittelbar;5850;;;;;ja;Maßnahmen Bayern; 
99;Deutschlandtakt ABS Vohburg – Münchsmünster;D-99;ABS Vohburg – Münchsmünster;Herstellung der Anschlüsse im Knoten Ingolstadt, Kapazitätssteige-rung bzw. Engpassauflösung;Vohburg – Münchsmünster: zweigleisiger Abschnitt;Vohburg – Münchsmünster;44,6;;WAHR;;;;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Regensburg - Ingolstadt;mittelbar;5851;BY;;;;ja;Maßnahmen Bayern; 
100;Deutschlandtakt ABS Würzburg – Rottendorf;D-100;ABS Würzburg – Rottendorf;Kapazitätsausweitung aufgrund SGV-Prognose und Mehrung SPFV;Würzburg Hbf – Rottendorf: Ausbau durch viertes Gleis Überwerfung von Streckengleis aus Fürth auf Streckengleis aus Schweinfurt sowie 5 zusätzliche Weichenverbindungen Würzburg Hbf (z.T. mit Weichenrückbau und Verschiebung von Bahnsteigen zur Gewährleistung der Längenentwicklung);Würzburg – Rottendorf;264;;WAHR;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Würzburg - Nürnberg;mittelbar;5910;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
101;Deutschlandtakt ABS Regensburg – Obertraubling;D-101;ABS Regensburg – Obertraubling;Kapazitätsausweitung aufgrund SGV-Prognose und Mehrung SPFV;viergleisiger Ausbau Regensburg – Obertraubling inkl. Überwer-fungsbauwerk in Obertraubling;Regensburg – Obertraubling;467,3;;WAHR;;;;;WAHR;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;München - Landshut - Regensburg;unmittelbar;5500;;;;;ja;Maßnahmen Bayern; 
102;Deutschlandtakt ABS Knoten München-Riem;D-102;ABS Knoten München-Riem;Kapazitätsausweitung und neue Fahrlage SPFV München - Mühldorf - Salzburg in den Knoten München;"Umbau München-Riem mit Truderinger Spange und Daglfinger Kurve; optionale Durchbindetrasse zusätzlich erforderlich (Weiche 530 bis 528); Ersatzbauwerk (Überwerfung im Bereich München Ost Rbf) zur Entflechtung S-Bahn und übrigem Verkehr";Knoten München-Riem;199,1;;WAHR;;;;;;;;;;;;;;WAHR;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;München - Mühldorf;unmittelbar;5600;;;;;ja;Knoten München; 
103;Deutschlandtakt Knoten München (Gleisvorfeld);D-103;Knoten München (Gleisvorfeld);Maßnahmenliste Halbstundentakt DB Netz AG 2026 (Etappierungs-maßnahme) Kapazitätsausweitung aufgrund Leistungsausweitung SPNV und SPFV;Optimierung Gleisvorfeld München Hbf: - Umbau Kreuzung IV in EKW (Gleis 11) - zus. Weichenverbindung Hbf – Starnberger Flügelbahnhof - Versetzung Lichtsperrsignal 216 (Gleis 15) in Richtung Weichen-grenzzeichen;Knoten München (Gleisvorfeld);5,5;;;;;;;;;;;;;;;WAHR;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten München;unmittelbar;mehrere;;;;;ja;Knoten München; 
104;Deutschlandtakt Augsburg – Oberhausen;D-104;Augsburg – Oberhausen;Maßnahmenliste Halbstundentakt DB Netz AG 2026 (Etappierungs-maßnahme): Veränderte Fahrlagen SPFV;Augsburg-Oberhausen: Ertüchtigung von Gleis 170 zum Hauptgleis zur Durchführung von Zugfahrten;Augsburg – Oberhausen;8,1;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Donauwörth - Augsburg;unmittelbar;5300, 5305;;;;;ja;Mannheim - Stuttgart - Augsburg - München; 
105;Deutschlandtakt Nersingen;D-105;Nersingen;Maßnahmenliste Halbstundentakt DB Netz AG 2026: Veränderte Fahrlagen SPFV (Etappierungsmaßnahme);Beseitigung höhengleicher Bahnsteigzugang Nersingen;Nersingen;3,1;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;WAHR;;;Augsburg - Ulm;unmittelbar;5302;;;;;ja;Mannheim - Stuttgart - Augsburg - München; 
106;Deutschlandtakt NBS Fürth-Bislohe – Nürnberg Hbf;D-106;NBS Fürth-Bislohe – Nürnberg Hbf;Kapazitätsausweitung und direkte Einführung der SPFV-Züge aus Würzburg und Erfurt nach Nürnberg Hbf, Fahrzeitkürzung für bes-sere Knoteneinbindung in Nürnberg;Fürth-Bislohe – Nürnberg Hbf: zusätzlicher Tunnel für SPFV;Fürth-Bislohe – Nürnberg Hbf;864,3;WAHR;;;;;;;;;;;;;;;;WAHR;;;;;;;;WAHR;WAHR;WAHR;;;Würzburg - Nürnberg;unmittelbar;neu;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
107;Deutschlandtakt ABS Mühldorf – Grenze D/A (Braunau);D-107;ABS Mühldorf – Grenze D/A (Braunau);Mehrverkehr SPFV München – Linz – Wien über die Strecke Brau-nau – Simbach;Elektrifizierung der Strecke Mühldorf – Grenze D/A (Braunau);Mühldorf – Grenze D/A (Braunau);136,4;;WAHR;WAHR;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Mühldorf - Braunau;unmittelbar;5600;BY;;;;ja;Maßnahmen Bayern; 
108;Deutschlandtakt Bahnhof Julbach;D-108;Bahnhof Julbach;Ausweitung SPFV;neuer Kreuzungsbahnhof Julbach;Bahnhof Julbach;15,6;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Mühldorf - Braunau;unmittelbar;5600;BY;;;;ja;Maßnahmen Bayern; 
109;Deutschlandtakt Knoten Celle;D-109;Knoten Celle;Kapazitätsausweitung aufgrund SGV-Prognose;Herstellung paralleler Fahrmöglichkeiten in Celle für die S-Bahn Richtung Lehrte und den SGV Richtung Hamburg;Knoten Celle;3,9;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Hannover - Hamburg;unmittelbar;1720;;;;;ja;Bremen - Hamburg - Hannover; 
110;Deutschlandtakt Bahnhof Adendorf;D-110;Bahnhof Adendorf;Kapazitätssteigerung bzw. Engpassauflösung zwischen Büchen und Lüneburg für den SGV;Ausbau Adendorf zum verkehrlichen Kreuzungsbahnhof ergänzend zum Ausbau für den SPNV, Bau eines dritten Gleises und Herstel-lung von 740 m Nutzlänge in mindestens zwei der Bahnhofsgleise;Bahnhof Adendorf;36,7;;;;;;;;;;WAHR;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Büchen - Lüneburg;unmittelbar;1150;;;;;ja;Maßnahmen Ost; 
111;Deutschlandtakt Bahnhof Lübeck-Hochschulstadtteil;D-111;Bahnhof Lübeck-Hochschulstadtteil;Kapazitätsausweitung aufgrund SGV-Prognose;ergänzend zum Ausbau für den SPNV: Bau eines dritten Gleises und Herstellung von 740 m Nutzlänge in Lübeck-Hochschulstadtteil in mindestens einem der Bahnhofsgleise;Bahnhof Lübeck-Hochschulstadtteil;29,4;;;;;;WAHR;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Lübeck - Büchen;unmittelbar;1121;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
112;Deutschlandtakt Bahnhof Ratzeburg;D-112;Bahnhof Ratzeburg;Kapazitätsausweitung aufgrund SGV-Prognose;Ratzeburg: Herstellung von 740 m Nutzlänge in den Bahnhofsglei-sen;Bahnhof Ratzeburg;6,1;;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Lübeck - Büchen;unmittelbar;1121;;;;;ja;Maßnahmen NRW/Niedersachsen/SH;  
113;Deutschlandtakt Bahnhof Lauenburg;D-113;Bahnhof Lauenburg;Kapazitätsausweitung aufgrund SGV-Prognose;Lauenburg: Bau eines dritten Gleises mit 740 m Nutzlänge zur Kreu-zung / Überholung von Güterzügen;Bahnhof Lauenburg;12,2;;;;;;WAHR;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Lübeck - Büchen;unmittelbar;1150;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
114;Deutschlandtakt ABS Mölln – Güster;D-114;ABS Mölln – Güster;Kapazitätsausweitung aufgrund SGV-Prognose;zweigleisiger Ausbau Mölln – Güster;Mölln – Güster;91,3;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Lübeck - Büchen;unmittelbar;1121;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
115;Deutschlandtakt Buchholz;D-115;Buchholz;Kapazitätsausweitung aufgrund SGV-Prognose;Buchholz (Nordheide): Überwerfung zur niveaufreien Führung der Züge von Maschen Richtung Rotenburg;Buchholz;134,9;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hamburg;unmittelbar;1280/2200;;;;;ja;Knoten Hamburg; 
116;Deutschlandtakt ABS Frielinigen – Stadt Visselhövede Awanst;D-116;ABS Frielinigen – Stadt Visselhövede Awanst;Kapazitätsausweitung aufgrund SGV-Prognose;zweigleisiger Ausbau Frielingen – Stadt Visselhövede Awanst;Frielinigen – Stadt Visselhövede Awanst;49;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Uelzen - Bremen;unmittelbar;1960;;;;;ja;Bremen - Hamburg - Hannover; 
117;Deutschlandtakt Bahnhof Brockhöfe;D-117;Bahnhof Brockhöfe;Kapazitätsausweitung aufgrund SGV-Prognose;Brockhöfe Awanst: Ausbau zum Kreuzungsbahnhof für Güterverkehr inkl. Gleis für SPNV;Bahnhof Brockhöfe;16,8;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Uelzen - Bremen;unmittelbar;1960;;;;;ja;Bremen - Hamburg - Hannover; 
118;Deutschlandtakt Bahnhof Harber;D-118;Bahnhof Harber;Kapazitätsausweitung aufgrund SGV-Prognose;Harber Awanst: Ausbau zum Kreuzungsbahnhof für Güterverkehr;Bahnhof Harber;13;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Uelzen - Bremen;unmittelbar;1960;;;;;ja;Bremen - Hamburg - Hannover; 
119;Deutschlandtakt Bahnhof Kirchlinteln;D-119;Bahnhof Kirchlinteln;Kapazitätsausweitung aufgrund SGV-Prognose;Kirchlinteln: Ausbau zum Kreuzungsbahnhof für Güterverkehr;Bahnhof Kirchlinteln;14,9;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Uelzen - Bremen;unmittelbar;1960;;;;;ja;Bremen - Hamburg - Hannover; 
120;Deutschlandtakt Bahnhof Visselhövede;D-120;Bahnhof Visselhövede;Kapazitätsausweitung aufgrund SGV-Prognose;Ausbau Visselhövede zum Kreuzungsbahnhof für Güterverkehr;Bahnhof Visselhövede;16,7;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Uelzen - Bremen;unmittelbar;1960;;;;;ja;Bremen - Hamburg - Hannover; 
121;Deutschlandtakt Bahnhof Oebsifelde;D-121;Bahnhof Oebsifelde;Kapazitätsausweitung aufgrund SGV-Prognose;Überholgleis in Oebisfelde für den Güterverkehr für Ost-West-Rich-tung;Bahnhof Oebsifelde;12,3;;;;;;;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Wolfsburg - Stendal - Berlin;unmittelbar;6185;;;;;ja;NRW - Hannover - Berlin; 
122;Deutschlandtakt ABS Bahnhof Leipzig-Wahren;D-122;ABS Bahnhof Leipzig-Wahren;Kapazitätsausweitung aufgrund SGV-Prognose;zweigleisige Einfädelung in Leipzig-Wahren;Bahnhof Leipzig-Wahren;7,2;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Leipzig;unmittelbar;6403;;;;;ja;Knoten Leipzig; 
123;Deutschlandtakt Bahnhof Ludwigslust (Nordkopf);D-123;Bahnhof Ludwigslust (Nordkopf);Kapazitätsausweitung aufgrund SGV-Prognose;zusätzliche Weichenverbindung im Nordkopf von Ludwigslust;Bahnhof Ludwigslust (Nordkopf);3,1;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Hamburg - Berlin;unmittelbar;6100;;;;;ja;Knoten Berlin; 
124;Deutschlandtakt Bahnhof Groß Gleidingne;D-124;Bahnhof Groß Gleidingne;Kapazitätsausweitung aufgrund Ausweitung Mengengerüst SGV und SPV, Entflechtung der Verkehre;Überwerfung Groß Gleidingen von Beddingen in Richtung Lehrte im Ostkopf;Bahnhof Groß Gleidingne;44,7;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Hannover Lehrte - Braunschweig;unmittelbar;1730/1772/1992;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
125;Deutschlandtakt Abzw. Utbremen;D-125;Abzw. Utbremen;Kapazitätsausweitung aufgrund SGV-Prognose, Ermöglichen des Einfädelns von Zügen der Relation Bremen Rbf - Maschen;Bau eines mittigen Puffergleises hinter dem Abzw. Utbremen;Abzw. Utbremen;41,3;;;;;;;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Wanne-Eickel - Hamburg;unmittelbar;2200;;;;;ja;Bremen - Hamburg - Hannover; 
126;Deutschlandtakt Bahnhof Stickhausen–Velde;D-126;Bahnhof Stickhausen–Velde;Kapazitätsausweitung aufgrund SGV-Prognose;Stickhausen-Velde: drittes Gleis für Eigenkreuzung GV bei gleichzei-tig passierendem SPV;Bahnhof Stickhausen–Velde;16,7;;;;;;WAHR;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Oldenburg - Leer;unmittelbar;1520;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
127;Deutschlandtakt ABS Bremen Hbf ehem Bwn – Bremen Hbf;D-127;ABS Bremen Hbf ehem Bwn – Bremen Hbf;Kapazitätsausweitung aufgrund SGV-Prognose, Herstellung paralle-ler Fahrmöglichkeiten für SGV in/aus Richtung Hude;zweigleisiger Ausbau der SGV-Kurve Bremen Hbf ehem. Bwn – Bremen Hbf;Bremen Hbf ehem Bwn – Bremen Hbf;10,4;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremen - Oldenburg;unmittelbar;1500;;;;;ja;Bremen - Hamburg - Hannover; 
128;Deutschlandtakt ABS Heidekultur – Wehdel;D-128;ABS Heidekultur – Wehdel;Kapazitätsausweitung aufgrund SGV-Prognose, Herstellung paralle-ler Fahrmöglichkeiten für SGV in/aus Richtung Hude;zweigleisiger Ausbau Heidekultur – Wehdel;Heidekultur – Wehdel;28,6;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremerhaven-Wulsdorf - Bremervörde - Verden (NE-Bahn EVB);unmittelbar;1300;;;;;ja;Bremen - Hamburg - Hannover; 
129;Deutschlandtakt Bahnhof Lietzow;D-129;Bahnhof Lietzow;zusätzlicher Systemhalt des SPFV in Lietzow zur Anschlussherstel-lung an den SPNV für die Region;Verlängerung der Bahnsteige Lietzow;Bahnhof Lietzow;15,5;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Stralsund - Sassnitz;unmittelbar;6321;;;;;ja;Maßnahmen Ost; 
130;Deutschlandtakt ABS Rügendamm – Lietzow;D-130;ABS Rügendamm – Lietzow;Fahrzeitverkürzung SPFV zur Knoteneinbindung in Stralsund und Binz;Geschwindigkeitsanhebung Rügendamm - Lietzow auf 100 km/h;Rügendamm – Lietzow;16,2;;WAHR;;;;;;;;;;;;;;;;WAHR;100;;;;;;WAHR;WAHR;WAHR;;;Stralsund - Sassnitz;unmittelbar;6321;;;;;ja;Maßnahmen Ost; 
131;Deutschlandtakt Bahnhofe Leese;D-131;Bahnhofe Leese;Kapazitätsausweitung aufgrund SGV-Prognose, Herstellung paralle-ler Fahrmöglichkeiten für SGV in/aus Richtung Hude;Ausbau Bahnhof Leese RWG zum Kreuzungsbahnhof;Bahnhofe Leese;14,7;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Nienburg - Minden;unmittelbar;1741;;;;;ja;Maßnahmen NRW/Niedersachsen/SH; 
132;Deutschlandtakt NBS Waffensen – Unterstedt;D-132;NBS Waffensen – Unterstedt;Kapazitätsausweitung aufgrund SGV-Prognose;Verbindungsspange Waffensen - Unterstedt;Waffensen – Unterstedt;18,2;WAHR;;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremerhaven-Wulsdorf - Bremervörde - Verden (NE-Bahn EVB);unmittelbar;1711/1745;;;;;ja;Bremen - Hamburg - Hannover; 
133;Deutschlandtakt Bahnhof Langwedel;D-133;Bahnhof Langwedel;Kapazitätsausweitung aufgrund SGV-Prognose und Mehrung SPV, möglichst vollständige Entflechtung aller Verkehre, um das gewünschte Mengengerüst zu realisieren;Langwedel: niveaufreie Anbindung der Strecke Langwedel - Uelzen;Bahnhof Langwedel;54,6;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Uelzen - Bremen;unmittelbar;1740/1960;;;;;ja;Bremen - Hamburg - Hannover; 
134;Deutschlandtakt Bahnhof Elsdorf;D-134;Bahnhof Elsdorf;Kapazitätsausweitung aufgrund SGV-Prognose;Ausbau Elsdorf zum Kreuzungsbahnhof mit 740 m Nutzlänge;Bahnhof Elsdorf;10,8;;;;;;;;;;WAHR;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bremerhaven-Wulsdorf - Bremervörde - Verden (NE-Bahn EVB);unmittelbar;1711;;;;;ja;Bremen - Hamburg - Hannover; 
135;Deutschlandtakt Einfädelung Maschen auf Strecke Hamburg – Lüneburg;D-135;Einfädelung Maschen auf Strecke Hamburg – Lüneburg;Kapazitätsausweitung aufgrund SGV-Prognose;Maschen – Stelle – Ashausen: Umbau des Knotens, so dass 2 Züge parallel und niveaufrei sowohl in das außenliegende Gleis als auch in das innenliegende Gleis der Strecke Hamburg – Lüneburg ein-und ausfahren können;Einfädelung Maschen auf Strecke Hamburg – Lüneburg;155,1;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Knoten Hamburg;unmittelbar;1281/1284/1720;;;;;ja;Knoten Hamburg; 
136;Deutschlandtakt Bahnhof Seelze;D-136;Bahnhof Seelze;niveaufreie Fahrmöglichkeit der S-Bahnen Richtung Hannover zur Vermeidung von Konflikten mit restlichem SPV, Kapazitätssteigerung bzw. Engpassauflösung;Wunstorf - Hannover: Überwerfungsbauwerk Seelze;Bahnhof Seelze;165,3;;;;;;;;;;;;;;;;WAHR;;;;;;;;;FALSCH;FALSCH;WAHR;;;Hamm - Hannover;mittelbar;1700, 1705;;;;;ja;NRW - Hannover - Berlin; 
137;Deutschlandtakt Bahnhof Haste;D-137;Bahnhof Haste;zusätzliche Überholmöglichkeit für SPFV mit höherer Durchfahrtsgeschwindigkeit;zusätzlicher Bahnsteig Gleis 4 im Bahnhof Haste;Bahnhof Haste;2,2;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Hamm - Hannover;unmittelbar;1700;;;;;ja;NRW - Hannover - Berlin; 
138;Deutschlandtakt ABS Germersheim – Graben-Neudrf;D-138;ABS Germersheim – Graben-Neudrf;Kapazitätsausweitung aufgrund SGV-Prognose;zweigleisgier Ausbau Germersheim - Graben-Neudorf sowie Ertüchtigung Graben-Neudorf für SGV;Germersheim – Graben-Neudrf;324,5;;WAHR;;;;;;;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Bruchsal - Rheinsheim, Rheinsheim - Rohrbach;unmittelbar;4132/3450;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
139;Deutschlandtakt Abzw. Weiterstadt Stockschneise;D-139;Abzw. Weiterstadt Stockschneise;Kapazitätsausweitung aufgrund SGV-Prognose;niveaufreie Kreuzung der Strecken Mainz – Aschaffenburg und NBS Nordanbindung Darmstadt im Bereich Abzw. Weiterstadt Stockschneise;Abzw. Weiterstadt Stockschneise;65;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Mainz-Bischofsheim - Darmstadt Hbf;unmittelbar;3530/3657;;;;;ja;Maßnahmen Hessen/RLP; 
