;project_name;project_number;pc_name;pc_reason;pc_description;Von_bis;planned_total_cost;nbs;abs;elektrification;batterie;second_track;third_track;fourth_track;curve;platform;junction_station;number_junction_station;overtaking_station;number_overtaking_station;double_occupancy;block_increase;flying_junction;tunnel_structural_gauge;increase_speed;new_vmax;level_free_platform_entrance;etcs;etcs_level;station_railroad_switches;station_modernization;effect_long_rail;effect_local_rail;effect_cargo;;;Strecken/Knoten;SPFV/SGV-Wirkung;Streckennummer;Bundesland;in Pros-D;railway lines;Subprojekte anlegen;GANTT;Zuordnung Korridor/Überprojekt;Gesamtmaßnahmenliste
21;Deutschlandtakt Abzw. Flughafen Nordwest;D-21;Abzw. Flughafen Nordwest;Herstellung von parallelen Fahrmöglichkeiten und Engpassauflösung;Abzw. Flughafen Nordwest(Köln-Kalk Bft- Grem berghoven): zu- sätzliche Verknüpfungen der Strecke 2651 (Siegstrecke) mitder Strecke 2690 (SFS Köln - Rhein/Main);Abzw. Flughafen Nordwest;171,7;;;;;;;;WAHR;;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Köln;unmittelbar;mehrere;;;;;ja;Maßnahmen NRW/Niedersachsen/SH;x
22;Deutschlandtakt Knoten Frankfurt West;D-22;Knoten Frankfurt West;Mischverkehrsstrecke: Kapazitätssteigerung aufgrund Ausweitung MengengerüstSPNV;Frankfurt West: Achsverschwenkung um eine Achse nach Westen, um Gleis 4 für Puffern der Züge von der S-Bahn-Strecke (3684) auf die Strecke 3900 nutzen zu können;Frankfurt West;33,6;;;;;;;;;;;;;;;;;;;;;;;WAHR;;FALSCH;FALSCH;WAHR;;;Gießen - Frankfurt;mittelbar;3900;;;;;ja;Maßnahmen Hessen/RLP; 
23;Deutschlandtakt ABS Grünberg – östlich Grünberg;D-23;ABS Grünberg – östlich Grünberg;"Verdichtung auf Halbstundentaktin HVZ; bessere Einbindung in die SPFV-Knoten in Gießen und Fulda (Anschlussherstellung)";"zweigleisiger Ausbau Grünberg - östlich Grünberg im Bereich des Kreuzungsbahnhofs; Anpassung LST";Grünberg – östlich Grünberg;23,6;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Gießen - Fulda;mittelbar;3700;;;;;ja;Maßnahmen Hessen/RLP;x
24;Deutschlandtakt Bahnhöfe Burggemünden, Niedergemünden;D-24;Bahnhöfe Burggemünden, Niedergemünden;"Verdichtung auf Halbstundentaktin HVZ; bessere Einbindung in die SPFV-Knoten in Gießen und Fulda (Anschlussherstellung)";"neuer Kreuzungsbahnhof Burg- und Niedergemünden;Anpassung LST";Burggemünden, Niedergemünden;10,3;;;;;;;;;;WAHR;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Gießen - Fulda;mittelbar;3700;;;;;ja;Maßnahmen Hessen/RLP; 
25;Deutschlandtakt Knoten Zell-Romrod;D-25;Knoten Zell-Romrod;"Verdichtung auf Halbstundentaktin HVZ; bessere Einbindung in die SPFV-Knoten in Gießen und Fulda (Anschlussherstellung)";"zweigleisiger Ausbau im Bereich des Kreuzungsbahnhofs Zell- Romrod;Anpassung LST";Zell-Romrod;12,6;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Gießen - Fulda;mittelbar;3700;;;;;ja;Maßnahmen Hessen/RLP; 
26;Deutschlandtakt Knoten Wallenrod;D-26;Knoten Wallenrod;"Verdichtung auf Halbstundentaktin HVZ; bessere Einbindung in die SPFV-Knoten in Gießen und Fulda (Anschlussherstellung)";"zweiter Bahnsteig Wallenrod; Anpassung LST";Wallenrod;10,3;;;;;;;;;WAHR;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Gießen - Fulda;mittelbar;3700;;;;;ja;Maßnahmen Hessen/RLP; 
27;Deutschlandtakt Knoten Großen Buseck;D-27;Knoten Großen Buseck;"Verdichtung auf Halbstundentaktin HVZ; bessere Einbindung in die SPFV-Knoten in Gießen und Fulda (Anschlussherstellung)";"zweigleisiger Ausbau westlich des Kreuzungsbahnhofs Großen Bus- eck (Richtung Gießen); Anpassung LST";Großen Buseck;42,5;;WAHR;;;WAHR;;;;;;;;;;;;;;;;;;;;FALSCH;FALSCH;WAHR;;;Gießen - Fulda;mittelbar;3700;;;;;ja;Maßnahmen Hessen/RLP; 
28;Deutschlandtakt ABS Reiskirchen – Grünberg;D-28;ABS Reiskirchen – Grünberg;"Verdichtung auf Halbstundentaktin HVZ; Fahrzeit Reiskirchen - Grünberg von 8 Minutenmitzwei Zwischenhalten zur verbesserten Knoteneinbindung in die SPFV-Knoten Gießen und Fulda (An- schlussherstellung)";Ausbau mit Streckenbeschleunigung zwischen Reiskirchen und Grünberg;Reiskirchen – Grünberg;19;;WAHR;;;;;;;;;;;;;;;;WAHR;;;;;;;FALSCH;FALSCH;WAHR;;;Gießen - Fulda;mittelbar;3700;;;;;ja;Maßnahmen Hessen/RLP; 
29;Deutschlandtakt ABS Bodenburg – Groß Düngen;D-29;ABS Bodenburg – Groß Düngen;4 Minuten Fahrzeitkürzung ggü. Fahrplan 2021 zur Knoteneinbin- dung Hildesheim und Herstellung der SPFV-Anschlüsse in Hildes- heim;Ertüchtigung der Strecke Bodenburg - Groß Düngen für eine Stre- ckengeschwindigkeitvon 80 km/h;Bodenburg – Groß Düngen;13,7;;WAHR;;;;;;;;;;;;;;;;WAHR;80;;;;;;FALSCH;FALSCH;WAHR;;;Bodenburg - Groß Düngen;mittelbar;1822;;;;;ja;Maßnahmen Hessen/RLP; 
30;Deutschlandtakt Knoten Twistringen;D-30;Knoten Twistringen;Kapazitätssteigerung und Engpassauflösung für SPV und SGV durch Entfall kreuzender Fahrwege der endenden Züge;mittiges Wendegleis in Twistringen für S-Bahn Bremen;Twistringen;18,7;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Osnabrück - Bremen;unmittelbar;2200;;;;;ja;Bremen - Hamburg - Hannover; 
31;Deutschlandtakt Knoten Hanau;D-31;Knoten Hanau;Mischverkehrsstrecke, Kapazitätssteigerung bzw. Engpassauflösung zur Aufnahme des Mehrverkehrs Frankfurt- Hanau im SPV durch Entflechtung der Fahrtbeziehungen Offenbach - Fulda und Aschaf- fenburg- Offenbach;Überwerfung im Ostkopf von Hanau Hbf;Hanau Hbf;91;;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten Hanau;unmittelbar;mehrere;;;;;ja;Frankfurt - Aschaffenburg - Würzburg - Nürnberg; 
32;Deutschlandtakt NBS Darmstadt – SFS Rhein/Main / Rhein/Neckar;D-32;NBS Darmstadt – SFS Rhein/Main / Rhein/Neckar;Anbindung Darmstadt an SFS Rhein/Main - Rhein/Neckar in Richtung Süden und Umsetzung Mengengerüst SPFV im Korridor Frankfurt - Mannheim;eingleisige Südanbindung von Darmstadt an SFS Rhein/Main - Rhein/Neckar (Frankfurt- Mannheim) mit niveaufreier Einbindung;Darmstadt – SFS Rhein/Main / Rhein/Neckar;212,2;WAHR;;;;;;;;;;;;;;;WAHR;;;;;;;;;WAHR;WAHR;WAHR;;;Darmstadt - NBS R/M-R/N - Mannheim;unmittelbar;neu;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
33;Deutschlandtakt Knoten Fulda-Bronnzell;D-33;Knoten Fulda-Bronnzell;Maßnahmenliste Halbstundentakt DB Netz AG 2026: Vorschlag DB Netz 2026: Qualität aufgrund Mengenwachstum und geänderter Knotenanbindung in Fulda (Etappierungsmaßnahme), Kapazitätssteigerung bzw. Engpassauflösung, um Züge der Rhönbahn unabhängig von Zügen der Relation Frankfurt - Fulda verkehren zu lassen;geänderte Weichenverbindung im Bft Fulda - Bronnzell;Fulda - Bronnzell;21,7;;;;;;;;;;;;;;;;;;;;;;;WAHR;;WAHR;WAHR;WAHR;;;Frankfurt - Fulda/Gerstungen;unmittelbar;3600/3824;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
34;Deutschlandtakt NBS Offenbach West Abzweig – Hanau Nordseite;D-34;NBS Offenbach West Abzweig – Hanau Nordseite;Engpassauflösung aufgrund Mehrverkehr SPFV bei südmainischer Anbindung des Fernbahntunnels Frankfurt und Zielfahrzeit Frankfurt - Fulda von 35 Minuten (nonstop);zusätzliche zweigleisige Strecke Offenbach WestAbzw - Hanau Nordseite mit bis zu 200 km/h;Offenbach West Abzweig – Hanau Nordseite;2099;WAHR;;;;;;;;;;;;;;;;;;200;;;;;;WAHR;WAHR;WAHR;;;Offenbach West - Abzw;unmittelbar;neu;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
35;Deutschlandtakt NBS Erfurt – Eisenach;D-35;NBS Erfurt – Eisenach;"Erreichung Zielfahrzeit Frankfurt- Eisenach von 80 Minuten (bei 2 Zwischenhalten); Zielfahrzeit Fulda- Eisenach: 43 Min. (inkl. 2 Minu­ ten Haltezeit in Bebra/Bad Hersfeld NBS),Anschlussherstellung";"Erhöhung Geschwindigkeit der BVWP-Maßnahme (Verbindung von NBS Würzburg- Hannover nach Blanken heim) von 200 km/h auf 230 km/h und Verlängerung des Ausbaus bis Gerstungen; Erhöhung Vmax der NBS Kirchheim - Blankenheim - Gerstungen auf mind. 230 km/h zur Erreichung der Zielfahrzeit; Ausbau der Strecke von Bebra (Anschluss von SFS) bis Beginn HönebacherTunnel auf 230 km/h, Ertüchtigung der Ortsdurchfahrt Hönebach auf 160 km/h und Ausbau der Strecke von Hönebach bis Gerstungen auf 200 km/h";Erfurt – Eisenach;4982,2;WAHR;;;;;;;;;;;;;;;;;WAHR;230;;;;;;WAHR;WAHR;WAHR;;;Fulda - Erfurt;unmittelbar;neu;;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
36;Deutschlandtakt ABS Appenweier Kurve – Appenweier Muhrhaag;D-36;ABS Appenweier Kurve – Appenweier Muhrhaag;Kapazitätssteigerung und Engpassauflösung SGV;zweigleisiger Ausbau Appenweier Kurve -Appenweier Muhrhaag mit mittigem Wartegleis für den Güterverkehr auf der SFS Karlsruhe - Basel;Appenweier Kurve – Appenweier Muhrhaag;82,5;;WAHR;;;WAHR;;;;;;;WAHR;;;;;;;;;;;;;WAHR;WAHR;FALSCH;;;Appenweier Kurve - Appenweier Muhrhaag;unmittelbar;4262;BW;;;;ja;Basel - Mannheim - Frankfurt - Fulda - Erfurt - Berlin; 
37;Deutschlandtakt Knoten München (Fußgängersteg);D-37;Knoten München (Fußgängersteg);Verkürzung der Umsteigezeiten in München Hbf von 10 auf 7 Minuten in der Haupthalle und von 13 auf 10 Minuten zwischen den Bahnhofsteilen (Flügelbahnhöfe);zusätzlicher Fußgängersteg/-unterführung in München Hbf;München;33,4;;;;;;;;;WAHR;;;;;;;;;;;;;;;;WAHR;WAHR;WAHR;;;Knoten München;unmittelbar;mehrere;;;;;ja;Knoten München; 
