Streckennummer:;Anfangkm:;Endekm:;Streckenname:
1302;180.882;182.777;Bremerhaven-Wulsdorf. W 8 - Brh-Geestemünde. W 111. G-Bahn
1303;15;1.077;Abzw Bremerhaven Süd - Brh-Geestemünde. G-Bahn
1304;0;100;ehemalige Strecke - Bremervörde - Bremervörde Hafen
1306;181.574;182.672;Bremerhaven-Wulsdorf. W 34 - Abzw Brh Süd. W 102
1310;190.743;227.139;Bremerhaven-Speckenbüttel. W 9 - Cuxhaven. W 12
1311;270;17.738;Bremerhaven-Speckenbüttel. W 5 - Bederkesa. G-Bahn
1312;0;100;ehemalige Strecke - Bremerhaven Seehafen - BD-Grenze (Freihafen)
1314;0;100;ehemalige Strecke - Abzw Bremerhaven Nord - Weserport
1400;0;2.210;Brm-Sebaldsbrück. W 61 - Brm-Sebaldsbrück Wbf. Gl 108. W 48. G-Bahn
1401;-11;12.424;Brm-Sebaldsbrück. W 64 - Bremen Rbf. Stw Bve.W 396. G-Bahn
1402;185;1.956;(Brm-Hemelingen) Abzw Hastedt.W 101 - Abzw Vahr. W 2. G-Bahn
1403;0;100;ehemalige Strecke - (Brm-Sebaldsbrück) Abzw Hastedt - Abzw Vahr
1404;5.381;18.455;(Kirchweyhe) Abzw Gabelung. W 203 - Sagehorn. W 43. G-Bahn
1410;816;5.697;Bremen Hbf. Stw Bgw.W 413 - Brm Rbf.Stw Bve.Gl 171.W 393.G-Bahn
1411;7.404;9.522;Bremen Hbf. Stw Bgw.W 410 - Brm Rbf.Stw Bvw.Gl 14.KWM 63. G-Bahn
1412;-26;1.669;Bremen Hbf. Stw Bwn.W 504 - Stw Bgw. W 409. G-Bahn
1413;96;259;Bremen Hbf. Stw Bwn.W 505 - BD-Grenze (Zollausschluß). G-Bahn
1414;-210;67;Bremen Hbf. Stw Bwn.W 512 - BD-Grenze (Weserbf). G-Bahn
1415;90;1.507;Bremen Neustadt. W 1A - BD-Grenze (Bremen-Grolland).G-Bahn
1420;0;100;ehemalige Strecke - Bremen Rbf. Stw Baf - STW Bve
1421;8.535;12.212;Bremen Rbf. Stw Baf. W 2 - Stw Bve. Gl 2. W 383. G-Bahn
1422;-967;2.323;Bremen Rbf.Stw Bvl. W 422 - BD-Grenze (Inlandshafen). G-Bahn
1423;-224;5.889;Bremen-Burg. W 4 - Bremen-Vegesack
1424;95;5.539;Abzw Utbremen. W 1 - Brm Rbf.Stw Bve.Gl 170.W 391.G-Bahn
1500;0;44.778;Oldenburg(Oldb) Hbf - Bremen Hbf. KWM 75
1501;447;31.427;Oldenburg (Oldb) Hbf. W 113 - Brake (Unterweser). W 2. G-Bahn
1502;932;108.793;Oldenburg (Oldb) Hbf. W 171 - Osnabrück-Eversburg. W 3
1503;-1.002;50.247;Hude. W 32 - Nordenham-Blexen
1504;-650;635;Essen (Oldb). W 17 - BD-Grenze. G-Bahn
1510;0;100;ehemalige Strecke - (Wüsting)Abzw Oldb.Hemmelsberg - Oldenburg Rbf
1511;20;2.402;Abzw Oldb-Hemmelsberg. W 502 - Abzw Tweelbäke(Sandkrug).W 203.G-Bahn
1512;0;100;ehemalige Strecke - Oldenburg Rbf - Oldenburg Rbf Stw F 1
1513;0;100;ehemalige Strecke - Oldenburg Rbf. Stw 6 - Stw R 2
1514;0;100;ehemalige Strecke - Oldenburg Rbf. Stw R 4 - Stw F 5
1520;842;55.513;Oldenburg (Oldb) Hbf. W 5 - Leer (Ostfriesl.). W 38
1521;-398;63.320;Cloppenburg. W 58 - Ocholt. W 1. G-Bahn
1522;0;52.373;Oldenburg(Oldb) Hbf - Wilhelmshaven Hbf
1530;-369;6.595;Varel (Oldb). W 46 - Diekmannshausen. G-Bahn
1531;-140;1.836;Varel (Oldb). W 44 - Varelerhafen. W 5. G-Bahn
1532;711;19.274;Varel (Oldb). W 52 - Neuenburg (Oldb). G-Bahn
1533;3.761;7.635;Borgstede. W 3 - Bramloge. G-Bahn
1534;0;30.178;(Ellenserdamm) Westerstede - Ocholt. W 22. G-Bahn
1540;-59;12.955;Sande - Jever
1541;0;20.340;Jever - Harle
1542;0;3.550;Wangerooge - Westanleger
1543;1.434;3.439;Wangerooge Saline. W 1 - Westen. G-Bahn
1544;0;245;(Wangerooge) --Verbindungskurve-- - (Westen)
1545;420;5.389;Wangerooge - Ostanleger
1550;-913;7.573;Sande. W 3 - Wilhelmshaven Süd. G-Bahn
1551;-11;4.193;Awanst Wilhelmshaven West. W 1 - Whv Marine-Arsenal. G-Bahn
1552;-54;15.425;(Sande) Awanst Whv-Nordstrecke.W 50 - Wilhelmshaven Nord. G-Bahn
1560;-476;87.881;Delmenhorst. W 24 - Hesepe. W 101
1561;0;19.405;Ahlhorn - Vechta. W 3. G-Bahn
1562;-435;7.488;Holdorf (Oldb). W 6 - Damme (Oldb). G-Bahn
1563;902;14.544;Delmenhorst. Ga - Lemwerder. G-Bahn
1564;-273;8.006;Lohne (Oldb). W 1 - Dinklage (Glan). G-Bahn
1570;0;81.008;Emden Rbf --(Norden)-- - Jever
1571;0;1.289;Emden Rbf. W 102 - W 198. G-Bahn
1572;-604;3.545;Emden Hbf - BD-Grenze (Emden Wasserbauamt (Glan))
1573;-397;13.222;Abelitz. W 1 - Aurich. G-Bahn
1574;30.938;36.670;Norden. W 35 - Norddeich Mole
1575;-115;17.479;Ihrhove. W 13 - Weener (DB-Grenze)
1576;0;4.312;Emden Hbf. W 012 - Emden VW-Werk (Glan).G-Bahn
1577;0;5.275;Emden Rbf. KWM 151 - Emden Südkai(Glan). G-Bahn
1600;-217;4.651;Osnabrück Hbf. Stw Of (Po). W 77 - Stw Of (Pu). W 225
1601;113.957;120.076;Hörne Bbf. W 5 - Osnabrück Hbf Stw Of (Po). W 393
1602;-644;892;Osnabrück Hbf Stw Of (Po). KWM 322 - Stw Of (Pu). W 277 G-Bahn
1610;556;1.820;Osnabrück Hbf. Stw Of(Pu). W 276 - BD-Grenze(Osnabrück Hafen). H-Bahn
1611;2.561;3.610;Abzw Stahlwerks- kurve. W 220 - W 212 (Lüstringen). G-Bahn
1612;0;100;ehemalige Strecke - Salzbergen - Bentheim
1620;13;3.386;Osnabrück Hbf. Stw Of (Po). W 52 - Osnabrück Rbf (Lüstri.)W 208.G-Bahn
1621;-272;1.315;Osnabrück Hbf. Stw Of (Po). W 91 - Osnabrück Rbf. Gl 247. G-Bahn
1622;0;3.511;Osnabrück Rbf.(Lüstringen) W 510 - Osnabr.Hbf.Stw Of(Pu).W 273. G-Bahn
