Streckennummer:;Anfangkm:;Endekm:;Streckenname:
2733;103.515;108.519;Gruiten. W 560 - Wuppertal-Vohwinkel. W 260. G-Bahn
2734;5.976;19.070;Solingen Hbf. W 3 - Wuppertal-Vohwinkel. W 217. G-Bahn
2735;0;100;ehemalige Strecke - Gruiten - Wuppertal-Vohwinkel
2800;-280;129.847;Hagen Hbf. W 11 - Haiger. W 97
2801;-293;31.283;Hagen Hbf. W 9 --Witten-- - Dortmund Hbf
2802;-553;1.325;Hagen-Eckesey. W 73 - Hagen Gbf. W 454. G-Bahn
2803;75.915;77.442;Hagen-Vorhalle. W 551 - Hagen Gbf. W 460. G-Bahn
2804;-410;2.464;Hagen Hbf. W 71 - Hagen-Heubing. W 613
2805;48;2.719;ehem Abzw Weidestraße. W 3 - Hagen-Kückelhausen. G-Bahn
2810;1.770;61.449;Hagen-Oberhagen - Dieringhausen. W 64
2811;139.960;145.325;Abzw Rehsiepen. W 1 - Abzw Einhaus. W 2. G-Bahn
2812;0;100;ehemalige Strecke - (Hagen Hbf) Abzw Rehsiepen. W 2 - W 149
2813;305;6.607;Brügge (Westf). W 4 - Lüdenscheid
2814;304;19.200;Abzw Oberbrügge. W 1 - Wipperfürth
2815;-85;12.490;Meinerzhagen. W 3 - Krummenerl. G-Bahn
2816;3.460;13.825;Hagen-Haspe. W 41 - Ennepetal-Altenvoerde. G-Bahn
2817;140.110;140.786;Abzw Rehsiepen. W 4 - Hagen Hbf. W 9. G-Bahn
2818;0;100;ehemalige Strecke - Hagen Hbf. Abzw Rehsiepen - Stw Hpw
2819;6;4.059;Hagen Hbf - Hagen-Oberhagen
2820;75.877;83.407;Hagen-Vorhalle. W 553 - Hagen-Kabel. W 342. G-Bahn
2821;113;3.590;Hagen-Vorhalle. W 522 - Herdecke. W 814
2822;-657;1.077;Hagen-Eckesey. W 71 - Hagen-Vorhalle. W 508. G-Bahn
2823;-553;5.672;Hagen-Eckesey. W 73 - Abzw Hohensyburg. G-Bahn
2824;72.783;76.011;Hagen-Vorhalle. W 422 - W 550. G-Bahn
2825;0;3.877;Hagen-Vorhalle. W 421 - W 513. G-Bahn
2840;155.175;165.471;Schwerte (Ruhr). W 111 - Holzwickede. W 262
2841;-139;19.685;Iserlohn. W 32 - Schwerte (Ruhr)
2842;172;2.030;Abzw Heide. W 1 - Schwerte (Ruhr) Ost. W 5. G-Bahn
2843;149.343;158.637;Abzw Hohensyburg - Schwerte (Ruhr) Ost. W 26. G-Bahn
2844;92;1.430;Abzw Hohensyburg. W 2 - Hagen-Kabel. W 307. G-Bahn
2850;0;25.070;Letmathe - Fröndenberg
2851;-68;2.218;Hemer. W 22 - Sundwig (Glan). G-Bahn
2852;0;12.479;Fröndenberg - Unna. W 10
2853;-236;22.504;Menden (Sauerland). W 22 - Neuenrade
2854;-341;62.184;Abzw Nuttlar. W 3 - Frankenberg (Eder). W 1
2860;-502;16.478;Plettenberg. W 855 - ehem. Herscheid. G-Bahn
2861;0;36.243;Finnentrop - Wennemen. W 406
2862;0;39.452;Altenhundem - Wenholthausen. W 1. G-Bahn
2863;0;22.300;Altenhundem - Birkelbach. G-Bahn
2864;0;43.605;Finnentrop - Freudenberg (Kr Siegen)
2870;65;88.978;Kreuztal. W 18 - Cölbe. W 321
2871;-124;20.337;Erndtebrück. W 2 - Berleburg
2872;2.289;36.470;(Berleburg) ehem. Abzw Hörre. W 1 - Allendorf (Eder). W 16. G-Bahn
2880;103.993;123.286;Siegen-Weidenau. W 618 - Betzdorf (Sieg). W 82
2881;-1.111;3.106;Siegen. W 63 - Siegen Ost. W 729
2882;66;13.548;Kirchen. W 221 - Freudenberg (Kr Siegen)
2883;48;8.568;ehem. Abzw Grünebach - Daaden
2900;3;631;Lünen Süd. W 51 - Lünen Hbf. W 441. G-Bahn
2901;1.089;2.759;Preussen. W 353 - Abzw Horstmar. W 251. G-Bahn
2910;-9;4.662;Abzw Autobahn. W 51 - Hamm (Westf) Rbf. W 135. G-Bahn
2911;145.324;150.537;Selmig. W 8 - Hamm (Westf) Rbf. W 703. G-Bahn
2912;-21;1.340;Abzw Herringen. W 101 - Hamm (Westf) Rbf. W 12. G-Bahn
2913;146.632;150.377;Hamm (Westf) Rbf. W 7 - Hamm (Westf). W 702. G-Bahn
2920;-26;4.092;Abzw Feldmark. W 1 - Hamm (Westf) Rbf. W 507. G-Bahn
2921;39;2.443;Abzw Gallberg. W 523 - Hamm (Westf) Rbf. W 136. G-Bahn
2922;916;4.032;Hamm (Westf) Rbf. W 190 - Hamm (Westf). W 926. G-Bahn
2923;0;2.315;Hamm (Westf) Rbf. W 431 - Hamm (Westf). W 936. G-Bahn
2930;111.546;136.718;Soest - Hamm (Westf)
2931;134.770;348.059;Hamm (Westf) - Emden Rbf
2932;188.408;207.298;Unna. W 3 - Hamm (Westf)
2933;365;3.349;Unna. W 4 - Unna-Königsborn. W 746
2940;-440;6.020;Neubeckum. W 6 - Beckum
2941;0;100;ehemalige Strecke - Neubeckum - Friedrichshorst
2942;-335;337;Neubeckum. W 26 - W 12. G-Bahn
2943;-184;36.357;Neubeckum. W 16 - Münster (Westf) Hbf. W 426
2950;-215;55.210;Brackwede. W 58 - Osnabrück Hbf. W 392
2951;322;24.430;Lippstadt. W 8 - Rheda-Wiedenbrück. W 70. G-Bahn
2952;0;100;ehemalige Strecke - Wiedenbrück - Dellbrück
2960;-18;40.570;Paderborn Hbf - Brackwede. W 24
2961;18;59.845;Paderborn Hbf - Brilon Wald. G-Bahn
2962;-208;7.602;Paderborn Nord. W 1 - Bad Lippspringe. G-Bahn
2963;123;15.260;Geseke. W 4 - Büren (Westf). G-Bahn
2970;110.487;148.730;Altenbeken. W 8 - Warburg (Westf). W 88
2971;109.668;110.746;Altenbeken. Gl 200. WM 154 - W 85
2972;328;101.210;Warburg (Westf). W 64 - Sarnau. W 18
2973;283.011;333.034;Scherfede. W 17 - Holzminden. W 3. G-Bahn
2974;3.243;48.863;Langeland. W 2 - Holzminden
2975;-394;63.951;Ottbergen. W 61 - Northeim (Han)
2976;0;1.100;ehem. Abzw Wildberg - ehem.Abzw Steinberg (Wehrden(Weser))
2980;-1.037;48.043;Herford. W 18 - Himmighausen. W 21
2981;-551;8.992;Herford. W 167 - Kirchlengern. W 2
2982;-363;87.771;Bünde (Westf). W 41 - Bassum. W 41
2983;-102;50.197;Lage (Lippe). W 7 - Hameln. W 58. G-Bahn
2984;-573;22.134;Lage (Lippe). W 48 - Bielefeld Hbf. W 217
2985;0;2.141;Bielefeld Ost. W 1 - Bielefeld Kreisbf. G-Bahn
2986;2.124;6.798;Abzw Noltehof - Blomberg. G-Bahn
2990;61.903;177.534;Minden (Westf). W 8 - Hamm (Westf) Rbf. W 658. G-Bahn
2991;325;4.000;Porta Westfalica - Häverstädt. G-Bahn
2992;85.295;180.131;Löhne (Westf) - Rheine. W 209
2993;84.552;87.641;Löhne (Westf). W 19 - W 291. Umfahrgleis. G-Bahn
3000;-201;42.527;Remagen. W 6 - Adenau
3001;0;100;ehemalige Strecke - (Dümpelfeld) Abzw Liers - Abzw Insul
3002;-342;43.843;Dümpelfeld - Lissendorf. G-Bahn
3003;1.020;19.671;Jünkerath. W 4 - Losheim (Eifel) (DB-Grenze). G-Bahn
3004;0;8.860;Hillesheim (Eifel) - Pelm
3005;-570;93.268;Andernach. W 3 - Gerolstein. W 4. G-Bahn
3006;0;850;Andernach. W 57 - Andernach - Rheinwerft. G-Bahn
3007;-4;1.050;Str 3006. W 3 - Andernach Hafen (Glan). H-Bahn
3010;0;159.512;Koblenz Hbf - Perl (DB-Grenze)
3011;78;14.223;Neuwied - Koblenz Mosel Gbf. Stw Mof. W 7
3012;89.978;91.121;Koblenz. Moselbrücke. W 325 - Koblenz Hbf. W 42
3013;305;988;Koblenz Hbf. W 25 - Koblenz Mosel Gbf. Stw Kof
3014;0;2.220;Abzw Kesselheim. W 3 - Koblenz-Lützel. W 16. G-Bahn
3015;0;34.148;Koblenz-Lützel. W 20 - Mayen Ost
3016;-485;10.600;Polch. W 1 - Münstermaifeld
3017;0;2.400;Engers - Rheinbrücke
3020;435;53.117;Simmern. W 33 - Boppard. W 27
3021;538;110.842;Langenlonsheim. W 43 - Hermeskeil. W 23. G-Bahn
3022;700;14.950;Simmern - Gemünden (Hunsrück)
3030;83;2.344;Abzw Hohenrhein. W 103 - Oberlahnstein. W 191
3031;64;1.359;Abzw Koblenz-Pfaffendorf. W 3 - Kobl Hbf. Abzw Horchheimerbrücke.W 301
3032;66;74.008;Engers - Au (Sieg)
3033;-218;33.920;Linz (Rhein). W 51 - Flammersfeld. G-Bahn
3034;-375;6.730;Grenzau. W 15 - Hillscheid (Westerw)
3100;-263;32.744;Gerolstein. W 30 - Pronsfeld. W 2. G-Bahn
3101;32.715;49.995;Pronsfeld - Ihren
3102;139;25.251;Pronsfeld. W 2 - Neuerburg (Kr Bitburg)
3103;-305;8.611;Pronsfeld. W 1 - Waxweiler
3104;-217;44.450;Bitburg-Erdorf. W 32 - Igel. G-Bahn
3110;-1.083;40.618;Wittlich Hbf. W 3 - Daun. G-Bahn
3111;-659;15.183;Wittlich Hbf. W 8 - Bernkastel-Kues Gl 1. G-Bahn
3112;189;10.611;Abzw Pünderich DB. W 52 - Traben-Trarbach DB. Gl 2
3113;53.230;60.140;Treis - Bruttig
3114;0;1.298;Wittlich Hbf. W 51 - Industrieanschl.II Wittlich. G-Bahn
3120;262;1.243;Konz. W 28 - Karthaus-Moselbrücke. W 163. G-Bahn
3121;-58;415;Karthaus Nordwest. W 199 - Karthaus-Moselbrücke. W 195. G-Bahn
3122;0;1.280;Karthaus Nordost. W 190 - Karthaus West. W 172. G-Bahn
3123;668;1.235;Karthaus-Moselbrücke. W 162 - Karthaus Mitte. W 156. G-Bahn
3124;3.232;4.113;Granahöhe - Igel
3130;91;3.122;Trier Hbf - Trier Nord
3131;0;73.329;Trier Nord. W 220 - Türkismühle. W 7. G-Bahn
3132;108.286;113.609;Moselbrücke Pfalzel. W 212 - Trier Süd. W 810. G-Bahn
3140;520;19.163;Ehrang. W 34 - Igel (DB-Grenze)
3141;-341;3.275;Ehrang. W 7 - Abzw Biewer. W 1. G-Bahn
3142;105.055;108.049;Ehrang. W 21 - Moselbrücke Pfalzel. W 204. G-Bahn
3143;27;3.209;Ehrang - Quint Hütte
3144;-90;284;Ehrang. W 1 - W 10. G-Bahn
3145;23;2.244;Ehrang. W 51 - Ehrang Süd. W 311
3146;-31;584;Ehrang Süd. W 298 - W 202
3147;36;345;Ehrang. W 102 - W 198. Gl 265. G-Bahn
3148;106.277;109.480;Ehrang. W 81 - Trierer Hafen (Glan). G-Bahn
3200;329;9.085;Heimbach (Nahe).W 38 - Baumholder. Gl 1. G-Bahn
3201;-428;32.620;Türkismühle. W 29 - Kusel. G-Bahn
3202;-170;4.670;Altenglan. W 10 - Kusel
3203;-956;13.600;St Wendel. W 42 - Tholey. Gl 1. G-Bahn
3204;-594;21.287;Ottweiler (Saar). W 24 - Schwarzerden (Glan). G-Bahn
3205;11.507;11.923;Freisen. W 4 - Gl 5 (Glan). G-Bahn
3210;0;2.600;Abzw Ford(Zentralkokerei ZKS).W221 - Ford Werke (Glan). G-Bahn
3211;0;12.819;Dillingen (Saar) - Primsweiler. G-Bahn
3212;7.717;20.324;(DB-Grenze) Hemmersdorf (Saar) - Dillingen (Saar)
3213;30.123;40.000;(DB-Grenze) Silwingen - Merzig (Saar)
3214;680;2.650;Abzw Dillingen Ost. W 202 - Dillinger Hütte (Hochofen)(Glan). G-Bahn
3215;0;1.058;Abzw Dillingen Süd. W 201 - Abzw Dillingen Ost. W 205. G-Bahn
3216;0;2.536;Abzw Ford(Zentralkoker.ZKS).W223 - Industr.-Anschl.Röderberg(Glan).G-B
3217;2.730;3.950;Abzw Ford(Zentralkoker. ZKS).W 211 - Dillinger Hütte(ZKS)(Glan).G-Bahn
3218;-252;2.430;Merzig (Saar). W 12 - Merzig (Saar) Ost. G-Bahn
3220;-290;923;Saarbrücken-Burbach. W 41 - Abzw Saardamm. W 26. G-Bahn
3221;0;5.445;Saarbrücken-Malstatt. W 8 - Von der Heydt. G-Bahn
3222;42;2.470;Von der Heydt. W 4 - AW Saarbrücken-Burbach. Gl 18. G-Bahn
3223;0;100;ehemalige Strecke - Saarbrücken-Burbach - Abzw Saardamm. W18
3224;0;100;ehemalige Strecke - Saarbrücken-Burbach - Kohlenbahnhof (Glan)
3225;6.073;7.093;Luisenthal(S).W3 --Gr.Luisent(Gl)-- - W 26. G-Bahn
3226;10.097;10.660;Fürstenhausen. W 54 - Kraftwerk Fenne (Glan). G-Bahn
3230;0;82.091;Saarbrücken Hbf - Karthaus. W 51/52
3231;0;5.483;Saarbrücken Hbf - Abzw Saardamm (DB-Grenze)
3232;2.013;18.468;Abzw Saardamm. W 12 --Hostenbach-- - Bous (Saar). G-Bahn
3233;1.054;2.337;Abzw Saarbrücken West. W 3 - Abzw Saardamm. W 17.G-Bahn
3234;-926;4.576;Abzw Saardamm. W 13 - Saarbrücken Rbf Nord. W 4. G-Bahn
3235;-1.400;1.565;Saarbr.-Burbach Untere Hütte(Glan) - Saarbrücken Rbf West.W 252.G-Bahn
3236;-834;14.326;Fürstenhausen. W 1 - Warndt Grube (Glan). G-Bahn
3237;802;3.400;Fürstenhausen. W 9 - Kokerei Saarbergwerke AG(Glan).G-Bahn
3238;15;2.985;Abzw Saarbrücken West. W 300 - Saarbrücken Rbf Mitte. W 71. G-Bahn
3239;1.670;2.876;Abzw Saardamm - Saarbrücken-Malstatt. W 1. G-Bahn
3240;0;27.282;Saarbrücken Hbf - Neunkirchen (Saar) Hbf. W 1
3241;-793;1.734;Saarbrücken-Schleifmühle. W 52 - Abzw Saardamm. W 11.G-Bahn
3242;463;1.258;Saarbrücken-Schleifmühle. W 4 - Abzw Saarbrücken West. W 4. G-Bahn
3243;41;3.876;Merchweiler. W 54 - Göttelborn Grube. (Glan). G-Bahn
3244;300;2.295;Brefeld - Maybach Grube
3245;8.457;9.413;Fischbach-Camphausen - Grube (Glan)
3250;0;31.098;Saarbrücken Hbf - Homburg (Saar) Hbf
3251;0;16.933;Saarbrücken Hbf - Hanweiler-Bad Rilchingen (DB-Grenze)
3252;140;991;Brebach. W 4 - Abzw Halberg. G-Bahn
3253;-830;738;St Ingbert. W 10 - St Ingbert Grube. G-Bahn
3254;3.432;5.529;Brebach. W 1 - Halberger Hütte (Glan). G-Bahn
3260;-746;4.208;Saarbrücken Rbf Mitte. W 127 - Sbr-Burbach. W 85. G-Bahn
3261;-1.839;1.297;Saarbrücken Rbf Nord. W 1 - Saarbrücken Hbf. (SH0). W 45. G-Bahn
3262;0;1.802;Saarbrücken Rbf Nord. W 32 - Saarbrücken Hgbf. W 4. G-Bahn
3263;135.621;138.357;Dudweiler. W 1 - Saarbrücken Rbf Nord. W 5. G-Bahn
3264;0;1.213;Saarbrücken Rbf West. W 175 - Saarbrücken Hbf. Gl 20. W 206. G-Bahn
3265;0;796;Saarbr.Rbf West. W 180 - Saarbr.Rbf West. Gl 320. W 251.G-Bahn
3270;479;4.091;Neunkirchen (Saar) Hbf. W 125 - Neunkirchen (Saar)-Dechen. G-Bahn
3271;229;1.600;Neunkirchen (Saar) Hbf. W 291 - ehem Grube König (Glan). G-Bahn
3272;-475;2.886;Schiffweiler - Neunkirchen(Saar) Hbf. W 290. G-Bahn
3273;121.308;123.130;Neunkirchen (Saar) Hbf. W 169 - W 342. G-Bahn
3274;-466;52.512;Wemmetsweiler. W 44 - Nonnweiler. W 15
3275;-5;3.210;Bexbach. W 21 --Kraftwerke SBW-- - Petrocarbona (Glan).G-Bahn
3276;3.540;4.600;Neunkirchen (Saar)-Dechen - Neunkir.(S)-ehem.Grube Heinitz.G-Bahn
3278;89;1.650;Neunkirchen (Saar) Hbf. W 122 - Saarstahl Nordanschluss (Glan).G-Bahn
3279;0;775;Neunkirchen (Saar) Hbf. W 200 - Kohlenlg. Hermineschacht(Glan).G-Bahn
3280;8.376;105.805;Homburg (Saar) Hbf - Ludwigshafen (Rhein) Hbf. W 2
3281;-499;96.299;Homburg (Saar) Hbf. W 22 - Staudernheim. W 6
3282;-694;14.534;Homburg (Saar) Hbf. W 240 - Neunkirchen (Saar) Hbf. W 172
3283;-319;7.427;Homburg (Saar) Hbf. W 206 - Einöd (Saar)
3284;972;4.077;Homburg (Saar) Hbf. W 11 - Gleislager Homburg (Saar). G-Bahn
3285;5.558;27.315;Schwarzenacker - Reinheim (Saar) (DB-Grenze)
3286;-106;1.885;Neunkirchen (Saar) Hbf. W 53 - Anschl.Kraftw.St-BarbaraIII(Glan).G-B
3287;0;854;Neunkirchen (Saar) Hbf. W 289 - W 338. G-Bahn
3288;23.779;24.332;Gersheim. W 1 --Kalkwerke(Glan)-- - W 18. G-Bahn
3290;55.159;70.815;(DB-Grenze) Überherrn - Völklingen. W 41. G-Bahn
3291;-809;22.266;Lebach - Völklingen. W 55. G-Bahn
3292;0;4.115;Völklingen-Heidstock - Püttlingen (Saar) Grube
3293;0;760;Völklingen. W 88 --Eisenw.(Glan)-- - W 104. G-Bahn
3294;68.145;69.249;Kohlenbahnhof Hostenbach (Glan) - Völklingen
3295;13.258;15.720;Völklingen. W 753 --Walzwe.(Glan)-- - W 761. G-Bahn
3296;16.154;17.061;Röhrenwerke Bous (RBS) (Glan) - Bous. W 69. G-Bahn
3297;-107;1.846;Ensdorf (Saar). W 5 - Dampfkraftwerk VSE (Glan). G-Bahn
3298;0;1.844;Ensdorf (Saar). W 34 - Grube Duhamel (Glan). G-Bahn
3299;-452;3.170;Ensdorf (Saar). W 35 - Griesborn Grube. G-Bahn
3300;138;29.340;Kaiserslautern Hbf. Gl 45 - Pirmasens Nord. W 14
3301;35.094;42.659;Einsiedlerhof. W 4 - Kaiserslautern. G-Bahn
3302;-326;35.118;Kaiserslautern Hbf. W 130 - Lauterecken-Grumbach. W 24
3303;-566;12.739;Kaiserslautern Hbf. W 38 - Enkenbach. W 12
3304;-298;16.572;Lampertsmühle-Otterbach. W 1 - Reichenbach (Pfalz). G-Bahn
3305;-25;3.965;Lampertsmühle-Otterbach. W 13 - Otterberg (Glan). G-Bahn
3306;-621;14.121;Landstuhl. W 43 - Glan-Münchweiler. W 3
3307;35.172;39.111;Einsiedlerhof. W 6 - E-hof. Stw Eo. W 532.Südl.V-Gl 6A. G-Bahn
3308;-10;2.490;Einsiedlerhof. Stw Eo. W 517 - E-hof.Stw Ef.W71.Nördl.V-Gl 1A.G-Bahn
3309;-58;2.218;Einsiedlerhof. W 74 - Opel AG (Glan). G-Bahn
3310;-197;7.069;Pirmasens Nord. W 43 - Pirmasens Hbf. Gl 14
3311;-794;11.910;Zweibrücken Hbf. W 53 - Hornbach (Kr Zweibrücken). G-Bahn
3312;-658;15.324;Hinterweidenthal Bahnhof. W 5 - Bundenthal-Rumbach
3320;-941;49.071;Hochspeyer. W 20 - Bad Münster am Stein. W 3
3321;0;959;Hochspeyer. Gl 40. W 50 - Gl 40. W 45. G-Bahn
3322;126;25.730;Langmeil (Pfalz). W 29 - Morschheim. G-Bahn
3400;-489;60.959;Schifferstadt. W 55 - Berg (Pfalz) (DB-Grenze)
3401;100.317;105.758;Lu-Rheingönheim. W 33 - Ludwigshafen (Rh) Hbf. W 5. G-Bahn
3402;157;12.517;Lu-Mundenheim. W 87 - Ludwigshafen (Rhein) BASF (Glan)
3403;-202;2.301;Ludwigshafen (Rhein) Hbf. W 91 - W 6. G-Bahn
3404;0;1.199;Ludwigshafen (Rhein) Hbf. W 389 - W 158. G-Bahn
3405;-618;2.321;Ludwigshafen (Rh) Hbf. W 103 - Ludwigshafen (Rh) BASF.Südtor.W 529
3410;-492;843;Ludwigshafen (Rhein) Hbf. W 107 - W 159
3411;-984;6.550;Lu-Oggersheim. W 1 - BD-Grenze (Lu-hafen (Rh) BASF).G-Bahn
3412;62.228;65.847;Lu-Oggersheim. W 55 - Lu-hafen (Rh).Abzw Rotes Kreuz. W166
3413;0;100;ehemalige Strecke - Frankenthal Hbf - Gross-Karlbach
3414;10.200;18.900;Ludwigshafen-Mundenheim - Meckenheim (Pfalz)
3415;-6;1.067;Frankenthal Hbf. W 94 - Frankenthal. Edigheimer Straße.G-Bahn
3420;504;25.722;Grünstadt. W 68 - Enkenbach. W 37. G-Bahn
3421;-267;4.139;Ebertsheim. W 1a - Hettenleidelheim. Gl 2. G-Bahn
3422;592;10.864;Grünstadt. W 11 - Altleiningen. G-Bahn
3423;428;6.274;Grünstadt. W 64 - Offstein. G-Bahn
3430;-1.162;38.724;Neustadt (Weinstr) Hbf. W 67 - Monsheim. W 37
3431;130;429;Bad Dürkheim - Abzw
3432;-545;12.970;Lambrecht (Pfalz) - Elmstein
3433;-292;44.618;Neustadt (Weinstr) Hbf. W 4 - Kapsweyer (DB-Grenze)
3434;-299;1.403;Neustadt (Weinstr) Hbf.Stw No.W 234 - Stw Ns. W 325. G-Bahn
3435;-54;13.739;Freinsheim. W 19 - Frankenthal Hbf. W 74
3440;-971;10.992;Landau (Pfalz) Hbf. W 3 - Herxheim (b Landau). Gl 1. G-Bahn
3441;1.070;9.450;Rohrbach-Steinweiler - Klingenmünster
3442;748;10.041;Winden (Pfalz). W 1 - Bad Bergzabern. Gl 2.
3443;162;26.814;Winden (Pfalz). W 31 - Karlsruhe Hbf. Gl 101/102
3444;0;100;ehemalige Strecke - Abzw Dammheim - Abzw Hartwiesen
3450;0;116.481;Rheinsheim - Rohrbach (Saar). W 3
3451;-492;6.775;Speyer Hbf. W 38 - Speyer.Städtischer Hafen(Glan).H-Bahn
3500;0;54.168;Wiesbaden Hbf - Diez. W 335. G-Bahn
3501;-32;19.787;Wiesbaden Hbf - Niedernhausen (Taunus). W 443
3502;29;3.440;Wiesbaden Ost - Wiesbaden Hbf. Gl 12. G-Bahn
3503;1.121;4.614;Wiesbaden Ost. W 595 - Wiesbaden-Erbenheim. W 26. G-Bahn
3504;-288;5.353;Wiesbaden Ost. W 478 - Wiesbaden West. Gl 4. G-Bahn
3505;41.231;44.906;Wiesbaden Hbf - Wiesbaden-Biebrich. W 703
3506;4.802;6.300;Abzw Kaiserbrücke. W 407 - Wiesbaden Ost. G-Bahn
3507;36.245;125.700;Wiesbaden Ost. W 403 - Niederlahnstein
3508;4.547;5.584;Abzw Kaiserbrücke. W 406(Geri 3506) - Wiesbaden Ost. W 463. G-Bahn
3509;0;12.775;Abzw Breckenheim. W 5 - Wiesbaden Hbf
3510;0;30.585;Bingen (Rhein) Hbf - Mainz Hbf
3511;-593;141.860;Bingen (Rhein) Hbf. W 132 - Saarbrücken Hbf
3512;-1.217;20.355;Gau Algesheim. W 42 - Bad Kreuznach. W 42
3513;0;5.380;(Bingen(Rhein))ehem.Bk Rochusberg - ehem. Bk Wasserwerk
3514;0;6.700;Rüdesheim (Rhein) - ehem. Bk Rochusberg (BD-Grenze)
3515;56;398;Bingen (Rhein) Hbf. W 220 - W 162
3520;0;37.508;Mainz Hbf - Frankfurt (Main) Hbf
3521;145;2.727;Mainz Hbf. Gl 13 - Abzw Kaiserbrücke. W 701
3522;1.616;70.128;Mainz Süd. W 403 - Mannheim Hbf
3523;0;50.478;Morschheim - Mainz Hbf. W 2
3524;1.213;1.452;Mainz Hbf. W 161 - BD-Grenze (Mainz Zollhafen). H-Bahn
3525;-755;16.082;Mainz-Mombach. W 602 - Mz-Bischofsheim. Stw Bof. W 332
3527;147;3.029;Mainz Hbf. Gl 11 - Abzw Kaiserbrücke. W 702
3528;3.778;9.763;Abzw Kaiserbrücke. W 703 - Wiesbaden Hbf
3529;4.239;6.423;Abzw Kaiserbrücke. W 704 - Wiesbaden Ost. W 494
3530;7.383;33.634;Mainz-Bischofsheim. W 6 - Darmstadt Hbf. W 314
3531;4;1.786;Abzw Kostheim. W 1 - W 9. G-Bahn
3532;-45;1.499;Mainz-Gustavsburg Hafen. Gl 11 - Mz-Gustavsburg. W 10. G-Bahn
3533;54.644;56.029;Groß Gerau-Dornberg. W 25 - Groß Gerau. W 22
3534;53.618;56.270;Groß Gerau-Dornberg. W 1 - Abzw Eichmühle. W 62. G-Bahn
3535;12.796;14.467;Mainz-Bischofsheim. W 34 - W 140. G-Bahn
3536;0;100;ehemalige Strecke - ehem. BK Abteischneise - Zellhausen
3537;29.677;34.806;Mz-Bischofsheim. W 504 (Geri 3530) - Darmstadt Hbf. W 328
3538;4.146;7.518;Mainz-Gustavsburg. W 1 - Mz-Bischofsheim. W 7
3539;0;2.904;Abzw Raunheim. W 201 - Raunheim. W 204 (Planungstitel)
3540;29.652;36.857;Abzw Stockschneise. W 503 - Darmstadt-Kranichstein. Gl 67.G-Bahn
3541;45.710;61.090;Goddelau-Erfelden - Darmstadt Hbf. W 157. G-Bahn
3542;0;4.438;ehem. Bk Pallaswiese - Darmstadt Hbf. Gl 44. G-Bahn
3543;-1.124;1.932;Darmstadt-Eberstadt.W 2 - Pfungstadt. Gl 3. G-Bahn
3550;-512;3.680;Darmstadt Hbf. W 318 - Darmstadt Nord. W 3.G-Bahn
3551;0;932;Darmstadt Hbf. Stw Dg. W 20 - Ga Darmstadt. Gl 322. G-Bahn
3552;-514;4.628;Darmstadt Hbf. W 336 - Aw Darmstadt. G-Bahn
3553;28;2.120;Abzw Kastanienallee.W 1 - Darmstadt-Kranichstein. W 4. G-Bahn
3554;0;32.401;Darmstadt Hbf - Wiebelsbach-Heubach. W 1
3555;-126;13.456;Darmstadt Ost. W 1 - Groß Zimmern. Gl 1
3556;-383;1.767;Babenhausen (Hess). W 9 - W 91. G-Bahn
3557;33.540;77.719;Darmstadt Hbf. W 316 - Aschaffenburg Hbf
3558;0;3.462;Babenhausen (Hess). W 201 - BD-Grenze(Zellhausen.Ind.-Geb).G-Bahn
3560;-327;53.279;Worms Hbf. W 80 - Gensingen-Horrweiler. W 1
3561;0;13.815;Marnheim - Monsheim. W 3. G-Bahn
3562;42;9.396;Armsheim. Gl 7 - Wendelsheim. Gl 1. G-Bahn
3563;39;31.175;Bodenheim. Gl 10 - Alzey. W 22. G-Bahn
3564;-293;18.755;Gau Odernheim. W 5 - Osthofen. G-Bahn
3565;1.033;11.524;Worms Hbf. W 5 - Gundheim. G-Bahn
3566;100;11.712;Worms Hbf. Gl 15 - Offstein. G-Bahn
3567;0;10.310;Undenheim-Köngernheim - Nierstein
3568;0;14.300;Sprendlingen (Rheinhessen) - Fürfeld
3569;56.192;63.290;Abzw Büdesheim-Dromersheim. W 3 - Bingen (Rhein) Stadt. Gl 344
3570;64;10.925;Worms Hbf. Gl 9 - Biblis. W 254
3571;5.252;24.284;Hofheim (Ried). W 5 - Bensheim. W 1
3572;0;18.757;Osthofen - Guntersblum. Gl 710. G-Bahn
3573;-356;1.010;Rheindürkheim - Rheindürkheim. Rheinufer
3574;1.078;2.490;Worms Hbf. W 43 - BD-Grenze (Worms Hafen). H-Bahn
3575;17.554;21.897;Lampertheim - Abzw Landdamm (Worms)
3576;-170;545;Gernsheim. W 415 - BD-Grenze (Gernsheim Hafen). H-Bahn
3577;0;5.225;Lorsch - Heppenheim (Bergstr)
3578;10.295;18.023;Viernheim. Gl 2 - Weinheim (Bergstr). W 54. G-Bahn
3579;-287;16.048;Mörlenbach. W 1 - Wahlen. G-Bahn
3600;0;247.704;Frankfurt (Main) Hbf - Göttingen. W 251
3601;0;83.615;Frankfurt (Main) Hbf - Abzw Heidelberg-Wieblingen. W 708
3602;0;100;ehemalige Strecke - Frankfurt (M) Hbf - Bw 1 Ff-Griesheim
3603;0;41.247;Frankfurt (Main) Hbf - Wiesbaden Hbf
3604;-123;1.360;Frankfurt (Main) Süd. W 217 - Ff-Louisa. W 912
